,sentence,sentence_bert
4464,LPG차량 일반인도 쓰게 해주세요,LPG차량 일반인도 쓰게끔 해주세요
4468,훅팀의 퍼포먼스도 한번 봐주세요..,훅팀의 멋진 퍼포먼스도 한번 봐주세요..
4477,한 장 손으로 그려 놔야겠어요 ㅎㅎ,한 장 손으로 그려 놔야겠어요. ㅎㅎ
4499,이게 어려운 일이 었어요?,이게 어려운 어떤 일이 었어요?
4503,"기침하신다는데, 코로나 아니길 바랄게요!!!!!!","자주 기침하신다는데, 코로나 아니길 바랄게요!!!!!!"
4519,꺄아아아 어모나!!!! 너무 예쁘네요!!!!!,! 꺄아아아 어모나!!!! 너무 예쁘네요!!!!!
4520,환경관리가 더욱 철저히 진행되도록 해주세요!!!!!,환경관리가 더욱 더 철저히 진행되도록 해주세요!!!!!
4531,근처 오시면 무조건 차 대접 드립니다.,근처 오시면 무조건 차를 대접 드립니다.
4558,저는 어쩌다보니 제 강습반에 항상 혼자 남겨져서…ㅋㅋ,저는 어쩌다보니 제 강습반에서 항상 혼자 남겨져서 … ㅋㅋ
4573,"청와대 특감반원의 진실을 밝히고, 조국/임종석은 당장 파면조치하라 !","청와대 특감반원의 진실을 밝히고, 대통령 조국 / 임종석은 당장 파면조치하라!"
4574,미용업계 종사자에게도 최저임금을 보장해주세요,미용업계 종사자에게도 최저임금을 꼭 보장해주세요
4576,"이상호 2억원, 여자컬링 0원…경기단체 포상금 '천차만별' 이게 현실인가요?","이상호 2억원, 여자컬링 0원 … 경기단체 포상금'천차만별'이게 과연 현실인가요?"
4578,다문화 가정에 대한 무분별한 혜택을 중단해 주십시오.',다문화 가정 가정에 대한 무분별한 혜택을 중단해 주십시오. '
4584,일본영화를 찾는게 그나마 우리와 정서적 공감이 되는 부분들 때문일 것이다,일본영화를 찾는게 그나마도 우리와의 정서적 공감이 되는 부분들 때문일 것이다
4585,군 병원을 이용하지 않고 외부 병원을 이용했으면 좋겠습니다.,군이 병원을 이용하지 않고 외부 병원을 이용했으면 좋겠습니다.
4600,사랑을 느끼게 해주는 영화....................,사랑을 다시 느끼게 해주는 영화....................
4601,국민은 50만원 공무원은 200만원!!! 웃기지도 않는다!!!,국민은 50만원 공무원은 200만원!!! 웃기지도도 않는다!!!
4603,"완전 스토리도 엉망이구, 완전 비추..ㅜ","완전 스토리도 엉망이구,, 완전 비추.. ㅜ"
4609,비슷한 상황이라 기대가 컷던 것일까..?,비슷한 상황이라서 기대가 컷던 것일까..?
4613,이어서 성장 그리고 투명성/자기주도/공감 등의 단어들이 모였습니다!,이어서 성장 그리고 투명성 / 자기주도 / 공감 등의 여러 단어들이 모였습니다!
4614,참가를 원하시면 3시간 안에 원하는 이모지를 마구마구 달아주세요!!,"참가를 원하시면, 3시간 안에 원하는 이모지를 마구마구 달아주세요!!"
4621,제가 눈물의 손해를 보면서 양보를 하는 것입니다. ㅠㅠ,그래서 제가 눈물의 손해를 보면서 양보를 하는 것입니다. ㅠㅠ
4622,@오피스에 출근 자주하시는 분들,@ 오피스에 출근을 자주하시는 분들
4625,"특히 입단테스트때 진짜 웃김.,","특히 입단테스트때는 진짜 웃김.,"
4633,발상의 전환은 돋보이나........난 잠만 자고 왔다.,발상의 전환은 돋보이나........ 난 잠만 잘 자고 왔다.
4634,이 사장님 강추는 정말 믿먹인데..!,이 회사 사장님 강추는 정말 믿먹인데..!
4648,빅뱅에 이어 2NE1이 7년만에 완전체로 뭉쳤습니다..!,빅뱅에게 이어 2NE1이 7년만에 완전체로 뭉쳤습니다..!
4650,대통령님 대구 수성구 범물동은 수성구가 아닙니다.,대통령님 대구 수성구 범물동은 대구 수성구가 아닙니다.
4653,어머 정말 좋아보여요! ㅋ,어머 정말 좋아보여요!! ㅋ
4655,전 개인적으로 낯설지만 그 추억이 주는 즐거움으로 맛도 있게 느껴졌슴니당 ㅎㅎ,전 개인적으로 낯설지만 그 추억이 주는 묘한 즐거움으로 인해 맛도 있게 느껴졌슴니당 ㅎㅎ
4664,내가 제일 좋아하는 로빈...,내가 제일로 좋아하는 로빈...
4666,저도 덕분에 오늘 오후 업무가 잘 될 것 같아요~!,저도 이 덕분에 오늘 오후 업무가 잘 될 것 같아요 ~!
4714,비슷한 사안은 모아주세요 그래야 힘이 됩니다!!,비슷한 사안은 모아주세요 그래야 힘이 다 됩니다!!
4719,저는 오토보이로 근근히 찍고 있는데...,. 저는 오토보이로 근근히 찍고 있는데...
4724,이슬람이 공식종교라면 신천지 증산도 통일교도 공식종교로 만들어주세요.,이슬람이 기독교 공식종교라면 신천지 증산도 통일교도 공식종교로 만들어주세요.
4741,동네친구 한명도 없는 저에겐 너무 이상적인 곳이네요..,동네친구가 한명도 없는 저에겐 너무 이상적인 곳이네요..
4749,비슷한 전략을 취해볼 수 있을 것 같습니다.,비슷한 전략을 취해볼 일 수 있을 것 같습니다.
4757,저는 4년제 사회복지학과를 8월달 졸업한 취업준비생입니다.,저는 연세대 4년제 사회복지학과를 8월달 졸업한 취업준비생입니다.
4770,화면도 어둡고 재미도 그다지...,. 화면도 어둡고 재미도 그다지...
4775,아침 운동전에 뭘 먹으면 좋을까요..? ㅠ,아침 운동전에는 뭘 먹으면 좋을까요..? ㅠ
4781,중국발먼지를 국제적인 관심으로 해결해 주세요!,중국발먼지를 국제적인 관심으로부터 해결해 주세요!
4785,산업은행이 대주주인 기업(대우건설)의 관리실태를 점검해 주세요.,산업은행이 대우건설 대주주인 기업 ( 대우건설 ) 의 관리실태를 점검해 주세요.
4789,군병원 폐지하고 민간병원에 위탁합시다.,군병원 폐지하고 민간병원에만 위탁합시다.
4798,아이돌 섭외 반대하고 정구호님을 올림픽감독으로 다시 임명해주십시오.,아이돌 섭외 반대하고 정구호님을 올림픽감독으로 다시금 임명해주십시오.
4804,케네스 브래너에서 마이클 키튼 까지 죄다 웃겨 보자구요.,케네스 브래너에서 마이클 키튼슨 까지 죄다 웃겨 보자구요.
4809,<PERSON> 님~! 이거 혹시 캐비닛에 들어가면 거기 넣어주실 수 있을까요??,< PERSON > 님 ~ ~! 이거 혹시 캐비닛에 안 들어가면 거기 넣어주실 수 있을까요??
4813,신규 입사자라서 따로 그렇게 설정된 걸까용 ..?,신규 입사자라서 따로 그렇게 설정된다는 걸까용..?
4822,"단지, 좀 꼬부라진 혓소리 였어야 하지 않았나 싶음.","그건 단지, 좀 꼬부라진 혓소리 였어야 하지 않았나 싶음."
4824,어떤 감정으로 만져도 인기가 있습니다.,어떤 감정으로만 만져도 인기가 있습니다.
4846,네네 그부분 추가할게요! : ),네네 그부분만 추가할게요! : )
4851,6급이하 호봉 리미트 제도 만들어 주십시오,6급이하 호봉 리미트 제도 만들어 보여 주십시오
4852,서로 전공 이야기도 하고 업무 이야기도 했지만 무엇보다 올스타전에 대한 기대가 가장 컸네요!,물론 서로 전공 이야기도 많이 하고 업무 이야기도 했지만 무엇보다 올스타전에 대한 기대가 가장 컸네요!
4854,방문 요양보호사 도움받는 가족의 현실적인 입장입니다.,방문 요양보호사 도움받는 가족의 현실적인 지원 입장입니다.
4855,전국 균형 발전과 '거점 국립대 통합' 공약을 언제 실천할 것입니까?,전국 균형 균형 발전과'거점 국립대 통합'공약을 언제부터 실천할 것입니까?
4857,요리를 한번 먹으면 비슷한 맛을 구현해 낼 수 있는 능력자라고 하시니 부럽네요 ㅎㅎ.,요리를 한번만 먹으면 비슷한 맛과 맛을 구현해 낼 수 있는 능력자라고 하시니 부럽네요 ㅎㅎ.
4863,"좋은 AI 모델이 나오기 위해서는 좋은 데이터가 필수적으로 필요한데, 그 부분에서 항상 열심히 해주시는 데이터 팀 분들 감사합니다.","좋은 AI 모델이 많이 나오기 위해서는 좋은 데이터가 필수적으로 필요한데, 특히 그 부분에서 항상 열심히 해주시는 데이터 팀 모든 분들 감사합니다."
4865,문희상 국회의장 파면을 청원합니다.,문희상 국회의장의 파면을 청원합니다.
4871,국민연금등 4대연금을 통합하여 주십시요.,국민연금등 4대연금을 모두 통합하여 주십시요.
4885,이제 무서워서 사회생활을 못하겠네요 ...,이제는 무서워서 사회생활을 못하겠네요...
4887,"모든 백신(예방주사)의 성분분석 및 부작용 사례 전수조사,","모든 백신 백신 ( 예방주사 ) 의 성분분석 및 부작용 사례 전수조사,"
4898,그 와중에 개발 노가리방 혹시 계신분 있으신가요..?,그 바쁜 와중에 개발 노가리방 혹시 계신분 있으신가요..?
4899,팔 언제 뺄 수 있나요 ㅋㅋ,팔 언제 뺄릴 수 있나요 ㅋㅋ
4903,많은 인공지능 기업에서 산학협력을 추진하고 있습니다.,많은 국내 인공지능 기업에서 산학협력을 추진하고 있습니다.
4909,대국민 사기극!! 가상화폐 실명제 도입!!,대국민 사기극!! 가상화폐 거래 실명제 도입!!
4915,제가 외부 일정 끝나고 집에 들어가면 4시쯤 될 것 같은데,제가 외부 일정 끝나고 집에 일찍 들어가면 4시쯤 될 것도 같은데
4925,다들 식사 맛있게 하세요 :),다들 식사 맛있게 잘 하세요 : )
4929,"책상은 다음 주 중, 의자는 6월 초에 설치될 예정입니다.)","책상은 다음 주 중, 의자는 6월 초에 설치될 것 예정입니다. )"
4930,ㅋㅋ 사장님과 직원 같아요 ㅋㅋㅋ,ㅋㅋ 사장님과 직원이 같아요 ㅋㅋㅋ
4935,그래도 정말 하루하루 달라지네요.,그래도 요즘 정말 하루하루 달라지네요.
4938,근데 50k 아니고 25k 만 받았었는데 이상하네요,근데 50k 아니고 25k 만 받았었는데 진짜 이상하네요
4942,미세먼지 개선좀 해주세요. 정말 답답합니다.,미세먼지 제발 개선좀 해주세요. 정말 답답합니다.
4948,"오로지 평화통일만을 원한다.""라는 공식적인 성명 들은 후에 교류하세요.","오로지 "" 평화통일만을 원한다. "" 라는 공식적인 성명 들은 후에 교류하세요."
4952,엄청 향도 맛도 풍부하더라구요.,엄청 향도 맛도 정말 풍부하더라구요.
4989,권력과 재력을 가진자들은 일반서민들보다 훨씬 엄정한 법집행을 하여야 합니다.,권력과 엄청난 재력을 가진자들은 일반서민들보다 훨씬 엄정한 법집행을 하여야 합니다.
4991,강동 주민 분들 여기 계셨군요!!,저희 강동 주민 분들 여기 계셨군요!!
5005,평점 조금은 더 올라가야될꺼 같네요,평점 조금은 더 올라가야될꺼도 같네요
5020,최저인금 인상 이전에 물가 안정화 방안 및 최저임금 진상 조사,최저인금 인상 이전에 물가 안정화 방안 및 최저임금 인상 진상조사 조사
5029,타인의 문제로 인식한다는것은 문제를 제대로 이해하지 못했다는것과 같다.,타인의 문제로만 인식한다는것은 문제를 제대로 이해하지 못했다는것과 같다.
5035,추진력 계산식은 비슷합니다 ㅋㅋㅋ,추진력과 계산식은 비슷합니다 ㅋㅋㅋ
5048,한국인 차별하는 외국인 의료 특혜 폐지해주세요,한국인 차별하는 정부 외국인 의료 특혜 폐지해주세요
5052,다양한 영상미를 넣은건 좋았지만 정말 루즈한 영화.,다양한 영상미를 넣은건 좋았지만 정말 루즈한건 영화.
5071,팀원들 생각하시는마음 아주 멋있습니당ㅎ,우리 팀원들 생각하시는마음 아주 멋있습니당ㅎ
5081,저도 계정이 없어서 ㅋ,저도 제 계정이 없어서 ㅋ
5093,서로 웹툰 추천도 주고받고 즐거웠습니다~!!,서로 웹툰 추천도 주고받고 너무 즐거웠습니다 ~!!
5097,"사랑에 대한 철학적, 심리적 분석이 매우 훌륭하다.","특히 사랑에 대한 철학적, 심리적 분석이 매우 훌륭하다."
5098,해임처분 당한 울산시 공무원 사건 엄정하게 수사해주세요..,"해임처분 당한 울산시 공무원, 사건 엄정하게 수사해주세요.."
5106,키싱구라미 그 은유는 정말 환상이었다..,키싱구라미 그 은유는 내게 정말 환상이었다..
5109,그 와중에 또 P를 거꾸로 했네요..,자 그 와중에 또 P를 거꾸로 했네요..
5111,미세먼지 해결해주세요. 대통령님 꼭 읽어주세요.,미세먼지 해결해주세요. 대통령님 책 꼭 읽어주세요.
5132,이렇게 좋은소재를 이렇게 망치다니....,이렇게 안 좋은소재를 이렇게 망치다니....
5133,야호... 호야호야 귀가 쫑끗하네요 쏘큩,야호... 호야호야 귀가 쫑끗하네요.
5134,주52시간 근무제와 유통업...간절 합니다...,주52시간 근무제와 유통업... 간절기 합니다...
5143,근처에 “앤더스 제주” 라는 카페도 넘 좋았어요!!!,근처에 “ 앤더스 제주 ” 라 라는 카페도 넘 좋았어요!!!
5148,아주 다양한 이야기를 나눌 수 있어서 좋았습니다!!,아주 다양한 이야기를 나눌 나눌 수 있어서 좋았습니다!!
5149,청소년에게 교육감 투표권을 주세요,어린 청소년에게 교육감 투표권을 주세요
5151,가마솥 닭백숙 기다리는 중입니다.,가마솥 닭백숙 기다리는 준비 중입니다.
5155,핵심가치 조사에 소중한 의견 내주신 모든 분들께 내일 중 이벤트 상품 참외 발송 예정입니다~!,핵심가치 조사에 소중한 의견 내주신 모든 분들께 내일 중 이벤트로 상품 참외를 발송 예정입니다 ~!
5157,중고차 매매 사기는 왜 근절시키지 않는 겁니까?,중고차 매매 관련 사기는 왜 근절시키지 않는 겁니까?
5159,"주연배우 너무 지겹고,,, 너무 무리한 압축... 으으으윽","주연배우 너무 지겹고,,, 너무 무리한 캐스팅 압축... 으으으윽"
5162,일자리 창출하기 전에 고용촉진지원금 부터 폐지하세요/,/ 일자리 창출하기 전에 고용촉진지원금 부터 폐지하세요 /
5165,"역시 기억이 안나지만 재밌다,,,","역시 기억이 안나지만, 재밌다,,,"
5186,여러가지 재밌는 취미를 가지는 것이 좋지 않을까 의견이 나왔습니다.,여러가지 재밌는 취미를 가지는 그런 것이 좋지 않을까 의견이 나왔습니다.
5200,상속자들..김은숙작가님 작품 중에 제일 감성미 넘치는 드라마였던듯..,상속자들.. 김은숙작가님 작품 중에 제일 감성미 넘치는 멜로 드라마였던듯..
5206,"와우 notion 참 필요하다 싶은 기능들을 잘 제공해주면서 성장하는 것 같네요… 다른 기능들을 보니,,!","- 와우 notion 참 필요하다 싶은 다른 기능들을 잘 제공해주면서 성장하는 것 같네요 … 다른 기능들을 보니,,!"
5219,북한에 도로와 철도 건설 하는 사업을 즉각 중단해 주시기 바랍니다.,부디 북한에 도로와 철도 건설 하는 모든 사업을 즉각 중단해 주시기 바랍니다.
5221,그러면서 베티 블루와 비교하는 것이 범죄인 영화.,그러면서 베티언 블루와 비교하는 것이 범죄인 영화.
5223,아침에 같이 달리실분 대 모집.,내일 아침에 같이 달리실분 대 모집.
5233,집사 간택의 춤 아닌가요?!,이건 집사 간택의 춤 아닌가요?!
5245,정말 입을 다물수 없을만큼 충격 그자체...,. 정말 입을 다물수 없을만큼 충격 그자체...
5254,대통령 임기기간과 국회의원 강한처벌 법을 만들어야 합니다,대통령 임기기간과 국회의원의 강한처벌 법을 만들어야 합니다
5255,무주택자들만 1순위 청약 할 수 있게 해주세요.,제발 무주택자들만 1순위 청약 할 수 있게 해주세요.
5259,변신의 뒤에는 항상 아픔이 있다.,변신의 뒤에는 항상 다른 아픔이 있다.
5264,너무 우울하지만 너무 달달한...,너무. 우울하지만 너무 달달한...
5279,애월에 위치한 분위기 좋은 프렌치 레스토랑입니다.,애월에서 위치한 분위기 좋은 프렌치 레스토랑입니다.
5283,/' 치셔서 일반 페이지 추가하시는 건 되실건데... 혹시 그게 안되고 있나요? ;ㅁ;,/'치셔서 일반 페이지 추가하시는 건 되실건데... 혹시 그게 안되고는 있나요? ; ; ㅁ ;
5300,개인 페이지에 제가 느낀 대로 정리해보고 있는데 많은 분이 도움 주시면 감사하겠습니다!,개인 페이지에 제가 느낀 대로 정리해보고는 있는데 많은 분이 도움을 주시면 감사하겠습니다!
5308,"실제로 화학적 거세는 생명에는 지장이 없으며, 미국과 프랑스 등 선진국에서는 시행하는 제도입니다.","실제로 화학적 거세는 생명에는 지장이 전혀 전혀 없으며, 미국과 프랑스 등 선진국에서는 시행하는 제도입니다."
5321,평론가들 말대로 이것이 가장 미국적인 영화라면 미국은 가망이 없다!,평론가들 말대로 이것이 가장 미국적인 영화라면 미국은 이길 가망이 없다!
5346,다양한 주제로 재미있게 이야기 나누었습니다.,다양한 주제로 재미있게 만나 이야기 나누었습니다.
5349,아이돌마스터 밀리언 라이브 애니화 해주십시오.,아이돌마스터 밀리언 라이브를 애니화 해주십시오.
5352,장만옥. 이 따위에 출연하다니... 에궁.,. 장만옥. 이 따위에 출연하다니... 에궁.
5358,아 저는 휴가 관계로 아쉽지만 참석하지 못할 것 같습니다!!,아 저는 휴가 관계로 아쉽지만 참석하지 못할 것도 같습니다!!
5373,참석하실 분들은 오늘 오후6시까지 갠톡주셔요~,참석하실 모든 분들은 오늘 오후6시까지 갠톡주셔요 ~
5389,와 이거 완전 유용하네요ㅎㅎ,와 이거 진짜 완전 유용하네요ㅎㅎ
5398,핸드폰 태양력으로 충전하게 만들어주세요,꼭 핸드폰 태양력으로 충전하게 만들어주세요
5402,나 또한 원주율을 위해..,나는 또한 원주율을 위해..
5406,실버택배 지원 여부 확인 및 지원중일 경우 지원 철회 요청,실버택배 지원 여부 확인 및 지원중일의 경우 지원 중단 철회 요청
5409,임청정 순수해보이고 풋풋하던 그시절...,임청정. 순수해보이고 풋풋하던 그시절...
5435,담엔 꼭 오프로 뵙고 인사드릴게요.,담엔 내일 꼭 오프로 뵙고 인사드릴게요.
5441,청원 답변을 받을수있는 기준을 낮춰주세요,그리고 청원 답변을 받을수있는 기준을 낮춰주세요
5449,ㅋㅋㅋ 진짜 시간 가는 줄 몰랐네요,ㅋㅋㅋ ㅋㅋㅋ 진짜 시간 가는 줄 몰랐네요
5452,개 이하가 없어서 정말 안타깝습니다.,개 이하가 거의 없어서 정말 안타깝습니다.
5454,이거 가끔 그런경우가 있습니다. 아마 크롬+맥 조합.,이거 가끔 그런경우가 가끔 있습니다. 아마 크롬 + 맥 조합.
5462,위수지역 폐지를 강력하게 요청합니다.,위수지역 폐지를 강력하게 강력히 요청합니다.
5467,원래 이런거 안남기는데 ㅋ,원래 이런거 안남기는데 ㅋ ㅋ
5468,오 저도 넷플다큐 종종 찾아보는데! 추천 감사합니다ㅎㅎㅎ,오 저도 넷플다큐 종종 찾아보는데! 추천해서 감사합니다ㅎㅎㅎ
5469,아이들이 법적보호자를 신청/변경 할수있게 해주세요 !,아이들이 직접 법적보호자를 신청 / 변경 할수있게 해주세요!
5470,프레디 크루거의 캐스팅만 제대로 되었더라면 나쁘지는 않았을 영화이다,프레디 크루거의 캐스팅만으로 제대로 되었더라면 나쁘지는 않았을 영화이다
5475,넵은 10키로 하라는 것이죠? ㅋㅋ,넵은 10키로 하라는 그런 것이죠? ㅋㅋ
5493,네넵! 혹시 필요하면 말씀드릴께요!,네넵!! 혹시 필요하면 말씀드릴께요!
5497,이명박전대통령의 해외 출국을 금지하여 주세요/,이명박전대통령의 해외로 출국을 금지하여 주세요 /
5498,저는 금요일인데 마음 편하게 할 수 있겠군요.,저는 이제 금요일인데 마음 편하게 할 수 있겠군요.
5499,저 명함이 200장 정도 필요할듯 합니다.,저 명함이 200장 정도 필요할듯도 합니다.
5515,저도 이거 두 개 있…,근데 저도 이거 두 개 있 …
5519,오 뭔가 점점 아빠를 닮아가네요..!,! 오 뭔가 점점 아빠를 닮아가네요..!
5520,전국 아파트 실버택배 운용현황 전수조사 및 자료공개요청,전국 아파트 실버택배 운용현황 전수조사 및 관련 자료공개요청
5531,오늘 도착해서 사용해보다가 성능 테스트를 한번 해봤는데요.,오늘 도착해서 사용해보다가 성능 테스트를 다시 한번 해봤는데요.
5540,위장전입으로 받은 건축허가를 취소해주세요,위장전입으로 받은 건축허가를 모두 취소해주세요
5541,레밍턴스틸 이후 첨으로 참 유쾌하다고 느낀 드라마,레밍턴스틸 이후 첨으로 참말로 유쾌하다고 느낀 드라마
5548,김정일 사망 7주년 기념행사 추진,北 김정일 사망 7주년 기념행사 추진
5553,유사라 연기는 콧구멍조차 어색하지만 내용 엄청 파격적이고 살색의 향연이다!,유사라의 연기는 콧구멍조차 어색하지만 내용 엄청 파격적이고 살색의 향연이다!
5554,공기도 넘 시원하고 좋네요!!!,바깥 공기도 넘 시원하고 좋네요!!!
5583,대한민국 정부가 하는 적폐청산... 현재 이게 맞는 행동입니까?,대한민국 정부가 하는 적폐청산... 현재 이게 맞는 정부 행동입니까?
5605,Ocn에서 해주길래 봤는데 음....,아까 Ocn에서 해주길래 봤는데 음....
5638,저는 개인적으로 채널 기능이 제일 강력한것 같아요.,저는 개인적으로 채널 기능이 제일로 강력한것 같아요.
5646,전국연합학력평가의 시행 횟수를 전국적으로 똑같게 맞춰주세요.,그리고 전국연합학력평가의 시행 횟수를 전국적으로 똑같게 맞춰주세요.
5652,"공동주택 일자리안정자금에 대한 문제점(미화원, 경비원 2019년 임금 동결건)","공동주택 일자리안정자금에 대한 문제점 ( 미화원, 경비원 2019년 임금 인상 동결건 )"
5653,오오~ 20개면 정말 정말 잘하는 것입니다.,오오 ~ ~ 20개면 정말 정말 잘하는 것입니다.
5654,차마 욕은 쓸수 없고..한숨만 나온다.,차마 욕은 쓸수 없고.. 한숨만 절로 나온다.
5667,네! 다른 분들도 참고하실 수 있게 공유드리겠습니다!!,네! 그럼 다른 분들도 참고하실 수 있게 공유드리겠습니다!!
5668,그래도 올라갈 때는 써야해서 그냥 두고 있어요ㅎㅎㅎ,그래도 올라갈 때는 써야해서 그냥 두고는 있어요ㅎㅎㅎ
5677,한단계 한단계 올라가는 중이라 스스로 괜히 신나는 중입니다…ㅎㅎㅋㅋ,지금 한단계 한단계 올라가는 중이라 스스로 괜히 신나는 중입니다 … ㅎㅎㅋㅋ
5683,"청원 댓글에 ""반대합니다"" 옵션을 넣어주세요..","청원의 댓글에 "" 반대합니다 "" 옵션을 넣어주세요.."
5685,곧 90명 될텐데요 ㅎㅎ,곧 90명이 될텐데요 ㅎㅎ
5686,"화면은 아름다웠지만, 쏟아지는 졸음은 어쩔수 없다","화면은 너무나 아름다웠지만, 쏟아지는 졸음은 어쩔수 없다"
5690,와 진짜 꿀팁.. 얻어갑니다!!!,와 진짜. 꿀팁.. 얻어갑니다!!!
5695,왠 TV후원광고가 이리도 많이 생기나요.,왠 TV후원광고가 이리도 많이 많이 생기나요.
5698,치료센터 가셔서 잘 치료 받으실 수 있나요?,치료센터 가셔서 잘 치료를 받으실 수 있나요?
5707,제가 아직 리크루티와 깃헙에 초대되지 않았습니다,제가 아직 리크루티와 깃헙에 초대되지는 않았습니다
5710,모든 선거에 있어 후보자들의 전과기록을 판례집 처럼 자세히 기재하도록 해주시기 바랍니다,모든 선거에 있어서 후보자들의 전과기록을 대법원 판례집 처럼 자세히 기재하도록 해주시기 바랍니다
5723,서울대에 초등교육과를 설치해 주세요.,서울대에 초등교육과를 하나 설치해 주세요.
5728,거짓말일 것 같아서 다 미리 쓰셨다는 ㅋㅋㅋ,거짓말일 것 같아서 다 미리 다 쓰셨다는 ㅋㅋㅋ
5733,병원에서도 같은 말씀을 하시더라구요....,병원에서도 다 같은 말씀을 하시더라구요....
5744,오 신기 이런게 있군요,오 신기 이런게 다 있군요
5755,사립유치원 교사 좀 살려주세요.,사립유치원 교사들 좀 살려주세요.
5763,"돼지국밥;부추, 밀면 좋죠 ㅎ","; 돼지국밥 ; 부추, 밀면 좋죠 ㅎ"
5771,재미있게 읽었던 책 공유드립니다 :),재미있게 읽었던 책 공유드립니다. : )
5783,글자 이모지는 이 곳에서 쉽게 생성할 수 있습니다.,글자 이모지는 바로 이 곳에서 쉽게 생성할 수 있습니다.
5784,국세와 지방세 비율 및 공공기관 이전건에 대한 질의,국세와 지방세 비율 및 공공기관 이전건에 대한 대한 질의
5785,일베의 배후자금에 국정원이 개입했는지 조사 부탁합니다.,일베의 배후자금에 국정원이 개입했는지 추가 조사 부탁합니다.
5787,아흙 오늘은 오전에 베이비 타임으로 커피챗놓쳤네요 ㅠㅠ,아흙 오늘은 오전에는 베이비 타임으로 커피챗놓쳤네요 ㅠㅠ
5791,ㅎㅎ 이렇게 하면 겨우 516 Cal 소모네요. ㅋㅋ,. ㅎㅎ 이렇게 하면 겨우 516 Cal 소모네요. ㅋㅋ
5798,"인터넷이 안되니 전화라도 해야하는데, 전화번호도 슬랙에 들어가야 확인가능하고.. ㅜㅜ","인터넷이 안되니 전화라도 해야하는데, 전화번호도 일단 슬랙에 들어가야 확인가능하고.. ㅜㅜ"
5808,결국 상황이 어떻든 내가 옳은 판단을 하면 되는거다.,결국 상황이 어떻든 내가 옳은 판단을 하고 하면 되는거다.
5836,언젠가 화성에서 워크샵하는 날도 올 수 있으면 좋겠네요..!,언젠가 화성에서 워크샵하는 날도 올 수는 있으면 좋겠네요..!
5837,최고예여~ 말이 필요 없삼........,최고예여 ~ 말이 필요가 없삼........
5848,국회의원 파면이 가능하도록 해주세요.,국회의원의 파면이 가능하도록 해주세요.
5849,명량 아직안번사람들 이가보고 명량보는거 추천!!,명량 아직안번사람들은 이가보고 명량보는거 추천!!
5851,같이 또 갈 사람??,같이 또 갈 만한 사람??
5856,끝나고난 뒤의 여운이란 ..,끝나고난 며칠 뒤의 여운이란..
5857,어제 밤에 집에 참새가 들어와 온가족이 혼비백산 했습니다.,어제 밤에 집에 참새가 들어와 온가족이 혼비백산을 했습니다.
5877,3/5일 온다고 하니 그때부터 더 밝은 표정 보여 드리겠습니다.,"3 / 5일 온다고 하니, 그때부터 더 밝은 표정 보여 드리겠습니다."
5878,앞으로 데이터/모델 같이 잘 다뤄 보시죠!!,앞으로 데이터 / 모델을 같이 잘 다뤄 보시죠!!
5879,스페인어를 할줄 알았으면 좋았을텐데...,스페인어를 잘 할줄 알았으면 좋았을텐데...
5883,일주일에 5분씩 줌에서 뵈었더니 뭔가 익숙한 느낌적인 느낌... 앞으로도 자주 봬요!,. 일주일에 5분씩 줌에서 뵈었더니 뭔가 익숙한 느낌적인 그런 느낌... 앞으로도 자주 봬요!
5884,비위면직자 5년취업제한 10년으로 연장해주세요!!!,비위면직자 5년취업제한 10년으로 대폭 연장해주세요!!!
5901,사전질문도 훌륭했는데 현장 질문도 많이 들어오고! 대부분의 학생들이 끝까지 집중해서 잘 듣는 듯 했습니다.,사전질문도 훌륭했는데 현장 질문도 많이 들어오고! 대부분의 학생들이 거의 정말 끝까지 집중해서 잘 듣는 듯 했습니다.
5902,10월 국정감사에 정몽규 대한축구협회 회장을 반드시 출석시켜 주십시오,10월 국정감사에서 정몽규 대한축구협회 회장을 반드시 출석시켜 주십시오
5904,요즘 영화표값 오른 거 알지?,요즘 영화표값 오른다는 거 알지?
5914,"1차 농산물 생산, 유통의 면세 폐지, 과세 후 환급을 청원합니다.","1차 농산물 생산, 농산물 수입 유통의 면세 폐지, 과세 후 환급을 청원합니다."
5929,"우리땅 독도, 우리가 지켜야 합니다.","우리땅, 독도, 우리가 지켜야 합니다."
5931,토지를 보면 얼마나 부끄러워할까..,토지를 보면서 얼마나 부끄러워할까..
5933,이게 제대로 된 나라인가..,. 이게 제대로 된 나라인가..
5934,우선 맛을 다 보기 위해 12종짜리로.,우선 맛을 다해 보기 위해 12종짜리로.
5949,특히 대사대신 음악쓰는데 지렸음...,. 특히 대사대신 음악쓰는데 지렸음...
5962,아홉시에 카페에서 쫓겨나서 아쉬웠습니다.,아홉시에는 카페에서 쫓겨나서 아쉬웠습니다.
5972,애니메이션을 본 사람은 꼭 극장판을 보길!,애니메이션을 본 두 사람은 꼭 극장판을 보길!
5983,"고양이 얘기, 업무 얘기, 재택의 장점 얘기하며 너무 즐거운 시간 보냈습니다!","고양이 얘기, 업무 얘기, 재택의 장점을 얘기하며 너무 즐거운 시간을 보냈습니다!"
5995,공포를 원한다면 밤에 거울 앞에서 후래시 번 깜빡여봐라...,. 공포를 원한다면 밤에 거울 앞에서 후래시 번 깜빡여봐라...
