,sentence_1,sentence_1_bert
6925,하루빨리 약해진 손목을 강화시켜야겠습니다 ㅎㅎ,하루빨리 약해진 손목을 강화시켜야겠습니다. ㅎㅎ
6930,저랑 함께.. 한번 더 들어보실래여…? ㅋㅋㅋ,저랑 함께... 한번 더 들어보실래여 …? ㅋㅋㅋ
6936,무슨 말은 한건지도 모르겠는데..,무슨 그런 말은 한건지도 모르겠는데..
6937,평일 낮에 이야기 나눠서 즐거웠습니다,평일과 낮에 이야기 나눠서 즐거웠습니다
6939,돌봄교실 학교 밖으로 내보지 말아 주세요,돌봄교실 학교 밖으로 내보지는 말아 주세요
6940,그건 많이 힘들 거 같습니다..ㅋㅋ,그건 많이들 힘들 거 같습니다.. ㅋㅋ
6943,ㅋㅋ 초등학생 엄마 만 보세요,ㅋㅋ 우리 초등학생 엄마 만 보세요
6945,울산은 오늘 날씨가 봄날씨네요..!,! 울산은 오늘 날씨가 봄날씨네요..!
6948,타고 싶은데 넘 비싸요 ㅎㅎ,차 타고 싶은데 넘 비싸요 ㅎㅎ
6955,IMF때보다 더 어려운것 같다,IMF때보다 더 많이 어려운것 같다
6960,한국의 영구적인 평화 통일을 위해선 연방제 따위가 아니라 에이브러햄 링컨식의 자유민주주의체재 자유 통일이어야 한다.,한국의 영구적인 평화 통일을 위해선 연방제 따위가 다름 아니라 에이브러햄 링컨식의 자유민주주의체재 자유의 통일이어야 한다.
6989,"남과 북을 떼어 놓으려는, 학자들을 퇴출시켜 주시기 바랍니다.","제발 남과 북을 떼어 놓으려는, 학자들을 퇴출시켜 주시기 바랍니다."
7005,"소방 관련 ! 중국 보다 못한 소방 학습, 준비, 법안","소방 관련! 중국 보다 못한 한국 소방 학습, 준비, 준비 법안"
7009,"조만간 리뉴얼 될 홈페이지와 올스타전 블로깅 얘기를 들었는데, 16일을 기대하게 되었습니다 ㅎㅎ","조만간 리뉴얼이 될 홈페이지와 올스타전 블로깅 얘기를 들었는데, 16일을 기대하게 되었습니다. ㅎㅎ"
7013,너무 마음에 드는 멥,그래서 너무 마음에 드는 멥
7018,저의 첫 회식 멤버셨는데..,저의 첫 첫 회식 멤버셨는데..
7022,같은 또래에 비해 더 잘먹고 잘 크고 있다고 합니다 ㅎㅎㅎ,같은 또래에 비해 더 잘먹고 더 더 잘 크고 있다고 합니다 ㅎㅎㅎ
7027,뜻대로 잘 안될때도 있으니까.,뜻대로가 잘 안될때도 있으니까.
7036,진짜 빨리 써주셨네요 ㅎㅎ,진짜 너무 빨리 써주셨네요 ㅎㅎ
7041,"어제 했는데 이제야 올리네요,","어제 올려야 했는데 이제야 올리네요,"
7046,패션왕코리아가 매번 시즌을 이어갔으면 좋겠습니다 굿,패션왕코리아가 매번 시즌을 이어갔으면 참 좋겠습니다 굿
7055,한샘 국정조사 대리점과 본사의싸움에 피해는 소비자몫,"한샘 국정조사, 대리점과 본사의싸움에 피해는 소비자몫"
7080,저는 오늘부터 착하게 살아야겠네요..,저는 오늘부터 더 착하게 살아야겠네요..
7090,박능후 해임을 통한 출산 장려 운동,박능후 장관 해임을 통한 출산 장려 운동
7093,앜ㅋㅋ 선배님이라는 호칭이 뭔가 낯간지럽네요 ㅋㅋ,선배님이라는 제 호칭이 뭔가 낯간지럽네요 ㅋㅋ
7095,이젠 기상청 공중분해 바래요.,이젠 기상청 공중분해를 바래요.
7100,전부 짜고 한다는걸 알고 안보거든,전부 짜고 봐야 한다는걸 알고 안보거든
7107,제 모습 영상으로 남긴줄…. …,제 모습을 영상으로 남긴줄 …. …
7125,쿨하게 이해해 주신것 맞죠? ㅎㅎ,너무 쿨하게 이해해 주신것 맞죠? ㅎㅎ
7128,ㅋㅋ 우두머리 닭의 벼슬 같네요ㅋㅋㅋ,ㅋㅋ 우두머리 닭의 큰 벼슬 같네요ㅋㅋㅋ
7130,건강검진결과 시력은 인정을 못 받습니까?,그런데 건강검진결과 시력은 인정을 못 받습니까?
7133,골프가 힘들어 질 때 보시면.. 더 힘듭니다 ㅋㅋ,골프가 힘들어서 질 때 보시면.. 더 힘듭니다 ㅋㅋ
7137,청소년이라도 옳고 그름의 판단은 정확해야 합니다.,청소년이라도 그 옳고 그름의 판단은 정확해야 합니다.
7143,마음 같아선 많은 분들과 놀고 싶지만…,마음 같아선 많은 분들과 놀고는 싶지만 …
7145,전자서명 이외에 필요할 때 대박!,전자서명 이외에 필요할 만한 때 대박!
7150,삼성전자서비스 비호한 고용노동부 정부감사를 촉구합니다.,삼성전자서비스 비호한 고용노동부 정부감사를 강력히 촉구합니다.
7166,모두 일정 조정 한번 해보실 수 있게 12월 8일 수요일 정도로 캘린더 한번 날려볼게요!!!ㅎㅎ,모두 일정을 조정 한번 해보실 분 수 있게 12월 8일 수요일 정도로 캘린더 한번 날려볼게요!!! ㅎㅎ
7169,추가로 이야기 나왔던 개발자의 유머 공유 합니다 ㅋㅋㅋ,추가로 이야기 나왔던 개발자의 유머 공유를 합니다 ㅋㅋㅋ
7172,#최저임금 결정방식 개편에 대한 의견,# # 최저임금 결정방식 개편에 대한 의견
7176,숨기고 싶었던 이야기가 공감이 되어 힐링이 된다.,숨기고 싶었던 모든 이야기가 공감이 되어 힐링이 된다.
7177,분노만 해대던 데렉 그리고 그걸 보고 자란 대니 되돌리려 했으나 떄는 늦었다.,분노만 잔뜩 해대던 데렉 그리고 그걸 보고 자란 대니를 되돌리려 했으나 떄는 늦었다.
7202,저도 갑자기 와이파이 중단 ㅠㅠ,저도 갑자기 와이파이 사용 중단 ㅠㅠ
7207,쿠퍼 화보촬영하듯 아름답게 가셨네,쿠퍼 화보촬영하듯 너무 아름답게 가셨네
7209,우왕 저도 가상오피스 출근하고 싶습니다아!!!,우왕 저도 꼭 가상오피스 출근하고 싶습니다아!!!
7212,지난주꺼를 몇분동안 다시보여주고 다이빙한번하면 기본번씩 다시보여주고 또보여주고...,지난주꺼를 몇분동안 다시보여주고 다이빙한번하면서 기본번씩 다시보여주고 또보여주고...
7216,스스로에게 자주 하시는 말씀이시라고 해요!,스스로에게 자주 하시는 그런 말씀이시라고 해요!
7217,미세먼지 감축을 위한 LPG/LNG차량 규제 철폐 의뢰의 건,미세먼지 감축을 위한 LPG / LNG차량 규제 전면 철폐 의뢰의 건
7239,와 머죠……. 너무 귀여워요 흑흑 심멎,아 와 머죠 … …. 너무 귀여워요 흑흑 심멎
7240,"제가 고민하고 있던 기업의 고유 비즈니스에 AI 솔루션을 접목할 때, 가장 중요한 ‘가려운 부분’ 긁어주기 스킬에 대해 팁을 나누어 주셨습니다! ㅎㅎ","또한 제가 고민하고 있던 기업의 고유 비즈니스에 AI와 솔루션을 접목할 때, 가장 중요한 ‘ 가려운 부분을 ’ 긁어주기 스킬에 대해 팁을 나누어 주셨습니다! ㅎㅎ"
7250,이거보면서 집에서 물병 웨이트 시작합니다. ^^,이거보면서 집에서 물병 웨이트를 시작합니다. ^ ^
7256,어제 아침 바다 보러 나오신 분들이 부러워서 저희도 나왔습니다.,어제 아침 바다 보러 나오신 분들이 부러워서 저희도 같이 나왔습니다.
7275,불륜으로 인해 마음 아파하는 사람이 많습니다,불륜으로 인해 더 마음 아파하는 사람이 많습니다
7285,우체국 직원의 대한 민원은 어디에,우체국 직원의 대한 민원은 도대체 어디에
7292,주문한 음식이 나오자 마자 연신 사진을 찍으며 서로 인스타 맞팔 까지 놓치지 않았습니다,주문한 음식이 나오자 하자 마자 연신 사진을 찍으며 서로 인스타그램 맞팔 까지 놓치지 않았습니다
7295,인터넷에 좋은 정보들이 참 많지만 돌고 돌아서 책을 넘기는 마음이 너무 편안하내요.,인터넷에는 좋은 정보들이 참 많지만 돌고 돌아서 책을 넘기는 마음이 참 너무 편안하내요.
7297,2박3일간 저희의 추억을 살펴보실 수 있도록 아래 폴더에 모두 담아놓았습니다.,2박3일간 저희의 추억을 살펴보실 알아볼 수 있도록 아래의 폴더에 모두 담아놓았습니다.
7307,올해 안에 꼭 비행기 타러가요 ㅠ_ㅠ !!!!,올해 안에 꼭 비행기 타러가요? ㅠ _ ㅠ!!!!
7316,모든 대학생 알바비(월 100만원 이하) 비과세 청원,모든 대학생 알바비 ( 월 최대 100만원 이하 ) 비과세 청원
7319,ㅋㅋ 깨달음의 회식 시간이었군요..,. ㅋㅋ 깨달음의 회식 시간이었군요..
7321,ㅋㅋㅋ 정식 오픈은 아직 좀 멀었습니다. ㅋ,ㅋㅋㅋ 아직 정식 오픈은 아직 좀 멀었습니다. ㅋ
7323,감독의 정신산태가 궁금하게 만들어지는 영화,최강희 감독의 정신산태가 궁금하게 만들어지는 영화
7341,"그나마 구할 수 있는 것이 뉴스 도메인인데요,","그나마 그나마 구할 수 있는 것이 뉴스 도메인인데요,"
7346,"전기요금 이슈화 이제 그만, 이제 드루킹 특검 정국","전기요금 이슈화 이제 그만,, 이제 드루킹 특검 정국"
7348,아 의도적으로 저렇게 찍은게 아니라 두분도 이제 아신거에요? ㅎㅎㅎ,아 의도적으로 저렇게 찍은게 아니라 두분도 이제 다 아신거에요? ㅎㅎㅎ
7351,왜 탕평책이 않되는지 왜 좌경적 성향이 짙은지 ?,왜 이런 탕평책이 않되는지 왜 좌경적 성향이 짙은지?
7352,귀향??? 이란 제목도 억울하다...,. 귀향??? 이란 제목도 억울하다...
7353,오.. 그렇군요! 사천 남해.. 너무 좋던데…,오.. 정말 그렇군요! 사천 남해.. 너무 좋던데 …
7354,지금 잠시 쉬는 중입니다.,지금은 잠시 쉬는 중입니다.
7356,오 안 그래도 추천 받아서 지금 깔았습니다 ㅎㅎ,오 안 그래도 추천 받아서 지금 자리 깔았습니다 ㅎㅎ
7372,볼 수록 빠져드는 마약같은 드라마 1화 부터 24화 까지 심심하지 않은 드라마였던 것 같다.,"볼 수록 빠져드는 마약같은 드라마. 1화 부터, 24화 까지 심심하지 않은 드라마였던 것 같다."
7380,오? ㅎㅎ 결혼기념일 일단 넣어봤습네다!,오? ㅎㅎ 결혼기념일 일단은 넣어봤습네다!
7393,어려운 경제에...제작비가 진정 아까워지는 영화!!,어려운 경제에... 제작비가 진정으로 아까워지는 영화!!
7395,이런것이 정규직 전환인가 싶습니다.,이런것이 과연 정규직 전환인가 싶습니다.
7398,X50 까지는 잘 안지켜질 가능성이 있을듯 한데.,X50 까지는 잘 안 안지켜질 가능성이 있을듯 한데.
7402,닉넴은 미리 사과.. ㅎ,ㅎ 닉넴은 미리 사과.. ㅎ
7404,여하튼 많이 걷는 것이 최고이긴 합니다. ㅎ,여하튼 많이 걷는 것이 최고이긴 합니다.. ㅎ
7408,공매도가 악용하는 주식결제기일...당일결제로 바꿔주세요!!,공매도가 악용하는 주식결제기일... 당일결제로 빨리 바꿔주세요!!
7410,저도 그래서 샤오미 사이클로.. ㅋㅋㅋ,저도 그래서 샤오미 사이클로... ㅋㅋㅋ
7421,심각한 항공권 취소수수료 문제(천재지변 관련),심각한 항공권 취소수수료 인상 문제 ( 천재지변 관련 )
7422,지인들하고 이야기 중 맥북 온도 어쩌구저쩌구...하길래 궁금해서 저도 설치해봤습니다.,지인들하고 이야기 중 맥북의 온도 어쩌구저쩌구... 하길래 궁금해서 저도 설치해봤습니다.
7428,대체; 왜 맨날 해주냐,; 대체 ; 왜 맨날 해주냐
7449,제주 자연 바닷바람 맞다가 혼탁한 서울 공기가 괜찮을까 염려되었능데 잘 자라주는 것 같아 고맙네요.,제주 자연 바닷바람 맞다가 혼탁한 날 서울 공기가 괜찮을까 염려되었능데 잘 자라주는 날인 것 같아 고맙네요.
7454,다음에 저도 데려가주세요오오 고수님들…!!,다음에는 저도 데려가주세요오오 고수님들 …!!
7461,한국감정원 실거래가시스템 전면 페쇄를 요청합니다.,한국감정원 실거래가시스템 전면에 페쇄를 요청합니다.
7463,2019 고교입학전형 경기도교육청 정책에 관해,2019 고교입학전형 경기도교육청의 정책에 관해
7467,참 처음엔괜찮았는데 왜 뒤로갈수록 개판이냐?,"참, 처음엔괜찮았는데 왜 뒤로갈수록 개판이냐?"
7472,각 정당 및 의원들 관련 문자메세지 못보내게 해주세요,각 정당 및 의원들 관련한 문자메세지 못보내게 해주세요
7481,"아래 악평은 방영전 알바가 뜬 거 같음, 이작품 제대로임.","아래의 악평은 방영전 알바가 뜬 거 같음, 이작품 제대로임."
7489,왜 구세주 후속작을 내놓았냐고,왜 구세주가 후속작을 내놓았냐고
7503,썸네일 보고 일단 클릭해보지 않을 수 없었던 플리,썸네일 보고 일단 클릭해보지 않을 알 수 없었던 플리
7511,다양한 프로젝트 썰도 많이 말씀해주셔서 테드톡 한 편을 들은 것 같았습니다 ㅋㅋㅋ,그리고 다양한 프로젝트 썰도 많이 말씀해주셔서 오늘 테드톡 한 편을 들은 것 같았습니다 ㅋㅋㅋ
7515,“꿈있고 열정이 있는 회사“!,“ 꿈있고 열정이 살아 있는 회사 “!
7518,평창올림픽 성공을 위한 작은 홍보 제안,평창올림픽 유치 성공을 위한 작은 홍보 제안
7538,굳이 논리적일 필요는 없다,그러나 굳이 논리적일 필요는 없다
7543,수질오염을 막을수있는 간단한 방법이 있습니다!!,수질오염을 막을수있는 간단한 예방 방법이 있습니다!!
7551,삶이 무료할 땐 휴가를!!!!,내 삶이 무료할 땐 휴가를!!!!
7559,이 채널에 미리 들어오신 분들 헷갈리실 수 있을 것 같은데요!,이 채널에 미리 연락 들어오신 분들 헷갈리실 수 있을 것도 같은데요!
7564,여러 생각을 하게 만드는 군요!!,여러 생각을 하게 만드는 군요 군요!!
7580,직접 가서 먹으니 뜨끈한 우동이 같이 나와서 한그릇 더 시켰어요~,~ 그리고 직접 가서 먹으니 뜨끈한 우동이 같이 나와서 한그릇 더 시켰어요 ~
7582,"간판, 광고물, 홍보물 등에 반드시 한글 병기를 원칙으로 해주세요","간판, 광고물, 홍보물 등에 반드시 반드시 한글 병기를 원칙으로 해주세요"
7587,원본 영어판은 영국식발음이 정말좋아요.,원본의 영어판은 영국식발음이 정말좋아요.
7604,국정원 특활비로 명품~ 적폐청산 앞으로의 방침,"국정원, 특활비로 명품 ~ 적폐청산 앞으로의 방침"
7610,무슨 공익들이 교관 조교하는느낌이야 ..,무슨 공익들이 교관 조교하는느낌이야...
7612,방북요청이 있으면 방북하지 말고 김 정은를 서울로 역 초대할 의향은 없는지요?,방북요청이라도 있으면 방북하지는 말고 김 정은를 서울로 역 초대할 의향은 없는지요?
7622,그걸 믿고 한국에서 비싸게 수입했는데..,그걸 믿고 한국에서 비싸게 많이 수입했는데..
7623,"아니면, 내가 악몽을 꾸고 있는 걸까?","아니면, 지금 내가 악몽을 꾸고 있는 걸까?"
7631,그리고 노력하셨지만 사진 비율은 어쩔수 없었네요..ㅋㅋ,그리고 노력하셨지만 사진 비율은. 어쩔수 없었네요.. ㅋㅋ
7634,여자는 짐작만가지고 움직이지 않아요'이요원의 이말이 와닿는 요즘..,여자는'짐작만가지고 움직이지 않아요'이요원의 이말이 와닿는 요즘..
7637,물론 실물도 아이돌 같으심,"물론, 실물도 아이돌 같으심"
7651,매년 빼앗기는 연차를 돌려받을 수 있게 해주세요.,매년 빼앗기는 연차 연차를 돌려받을 수 있게 해주세요.
7654,한 달에 10개까지만 무료.,한 한 달에 10개까지만 무료.
7662,수준급 감독이 대충 날림으로 만들다.,수준급 감독이 대충 날림으로만 만들다.
7663,경사 7~8도로 40마일 정도 가다가 입구부턴 좀 가파라지면서 고산병 증세 오더라고요,그래서 경사 7 ~ 경사 8도로 40마일 정도 가다가 입구부턴 좀 가파라지면서 고산병 증세 오더라고요
7671,값으로 헤아릴 수 없는 보물은 바로 역사다.,값으로 헤아릴 수 없는 보물은 바로 우리 역사다.
7676,실제 군대는 좀 달랐지만 ㅋ,실제 우리 군대는 좀 달랐지만 ㅋ
7680,벅스라이프에 캐 관광 ㅋㅋ,벅스라이프에서 캐 관광 ㅋㅋ
7694,역시나 초반 주제는 채용과 관련된 내용들이었는데 피플팀 걱정을 많이 해주셔서 정말 감사했습니다.^^,역시나 초반 주제는 채용과 직접 관련된 내용들이었는데 피플팀 걱정을 정말 많이 해주셔서 정말 감사했습니다. ^ ^
7707,그렇다고 실적이 나쁜 것도 아닙니다.,그렇다고 해서 실적이 나쁜 것도 아닙니다.
7711,아동학대 기관 운영 못하게 해주세요,제발 아동학대 기관 운영 못하게 해주세요
7712,초등학교 저학년 영어교육 관련 청원입니다.,저의 초등학교 저학년 영어교육 관련 청원입니다.
7713,3명이 한달 정도 하면 만들 수 있음;;,3명이서 한달 정도 하면 만들 수 있음 ; ;
7716,얻기 위해선 싸워야 한다 남이든 내가 되든,부를 얻기 위해선 싸워야 한다 남이든 내가 되든
7724,회의가 다 튕기는 경험을 했네요..,회의가 다들 튕기는 경험을 했네요..
7737,운동다음 음식은 정말 최고.,운동다음에 음식은 정말 최고.
7742,저 이거 나오자마자 들었는데...,저 이거 방송 나오자마자 들었는데...
7749,"아, 이 이 글을 보며… 테니스 그만 땡땡이 치고 열심히 배워야겠다고 다짐! ㅎㅎ","ㅎㅎ 아, 오늘 이 이 글을 보며 … 테니스 그만 땡땡이 치고 열심히 배워야겠다고 다짐! ㅎㅎ"
7759,오늘 태양의신전 오픈/ 토벌권 하한가 조정좀 해주세요.,오늘 태양의신전대 오픈 / 토벌권 하한가 조정좀 해주세요.
7761,한마디로 '지렁이도 밟으면 꿈틀거린다'.,그리고 한마디로'지렁이도 밟으면 꿈틀거린다 '.
7767,이렇게 또 자연스럽게 헤드셋에 영업당하게 되고...,이렇게 해서 또 자연스럽게 헤드셋에 영업당하게 되고...
7773,저 결국 gv60 검색해봤습니다,저 결국 gv60으로 검색해봤습니다
7775,교대역.... 한번가봐야겠군요.. ㅎ 츄릅,. 교대역.... 한번가봐야겠군요.. ㅎ 츄릅
7784,북한 이러고선 또 미사일 날릴거냐?,그럼 북한 이러고선 또 미사일 날릴거냐?
7789,나름 조용한 스벅이라 ㅎㅎ,나름 조용한 스벅이라서 ㅎㅎ
7791,코믹과 액션.. 진짜 밸런스 최고 ㅋㅋ,코믹과 액션.. 진짜. 밸런스 최고 ㅋㅋ
7792,강문대 신임 청와대 사회조정비서관에 대하여,강문대 신임 전 청와대 사회조정비서관에 대하여
7793,한 번 문의 드려 볼게요~~,한 번 문의 드려 봐 볼게요 ~ ~
7799,아니면 국내에 위치해 있나요?,", 아니면 국내에 위치해 있나요?"
7804,리버스 프록시를 이용해서도 할 수 있을것 같네요,리버스 프록시를 이용해서도 사용 할 수 있을것 같네요
7813,다음번에는 롤도 같이 하기로 약속하며 짧았지만 즐거운 이야기 시간이였습니다!,다음번에는 롤도 같이 하기로 약속하며 짧았지만 즐거운 이야기의 시간이였습니다!
7817,불법노동자 왜 한국에서 일하게하는가요,불법노동자를 왜 한국에서 일하게하는가요
7826,"엔딩크래딧이 올라가고,개월동안 지켜온 금연에 심각한 위기가 온다.","엔딩크래딧이 올라가고, 개월동안 지켜온 금연에 대해 심각한 위기가 온다."
7827,저는 그냥 잔디 밟으러 가야할듯합니다만 ㅎㅎㅎ,물론 저는 그냥 잔디 밟으러 가야할듯합니다만 ㅎㅎㅎ
7830,ㅋㅋ 사다리타기로 한분만 제외당할수 있으십니다..!!,ㅋㅋ 사다리타기로 한분만 제외당할수가 있으십니다..!!
7834,대한민국에 응급 의학센터나 이를 위한 시스템을 더 확충해주세요,대한민국에 응급 의학센터나 이를 찾기 위한 시스템을 더 확충해주세요
7838,어찌 이 느낌을 한 줄의 글로 표현할 수 있을까...,어찌 이 느낌을 한 줄의 글로 표현할 할 수 있을까...
7839,큐넷 시험시간중 화장실 이용하게 해주세요!!,! 큐넷 시험시간중 화장실 이용하게 해주세요!!
7841,왜 우리선수들은 태극기를 달면 안되나요?,그런데 왜 우리선수들은 태극기를 달면 안되나요?
7846,1년만에 이렇게 될수가 있나?,1년만에 이렇게 될수가 어디 있나?
7854,와 부럽... ㅠ ㅎ,와 부럽... ㅠ. ㅎ
7859,현재 올려주신 내용을 토대로 ver1.1 페이지를 만들었습니다.,현재 올려주신 내용을 모두 토대로 ver1. 1 페이지를 만들었습니다.
7860,훌륭하지만 역시 평범하게 사는게제일,물론 훌륭하지만 역시 평범하게 사는게제일
7865,이번에 석사 졸업하셨다고 하는데요!,이번에 석사 졸업하셨다고들 하는데요!
7871,저 근데 쫄보라서 그냥 안들어가기로했습니다....,저 근데 쫄보라서 그냥 그냥 안들어가기로했습니다....
7873,성수기 요금..왜 이리 비싼가요?,. 성수기 요금.. 왜 이리 비싼가요?
7877,너무 많이 웃고 즐거운 시간 보낼 수 있어 오늘 벙개 매우 성공적이었습니다 ㅎ,너무도 많이 웃고 즐거운 시간을 보낼 수 있어 오늘 벙개 매우 성공적이었습니다 ㅎ
7878,저희 외부 행사가 있을떄 꼭 공식 로고를 사용했으면 좋겠어요!,저희 외부에 행사가 있을떄 꼭 공식 로고를 사용했으면 좋겠어요!
7881,저도 연극부에서 의상 담당 했었던.. ㅋㅋ,ㅋㅋ 저도 연극부에서 의상 담당 했었던.. ㅋㅋ
7891,아하 그럴 수 있겠네요!,아하! 그럴 수 있겠네요!
7893,오늘 게더 티챗 하시는 분 안계신가용~~,오늘 게더님 티챗 하시는 분 안계신가용 ~ ~
7894,성남시 환경 개선을 요청합니다,성남시 환경 환경 개선을 요청합니다
7913,대통령님 평창올림픽 개막식 !!!!,대통령님 평창올림픽 개막식!!!!!
7923,3기신도시 지역발표 서둘러 주세요!!,3기신도시 지역발표를 서둘러 주세요!!
7934,불법체류자 출입국사무소로 꼭 신고합시다,불법체류자 출입국사무소로 꼭 꼭 신고합시다
7936,아 큰 복이 내린다더니… ㅎㅎ,아 큰 복이 내린다더니 … … ㅎㅎ
7940,하지만 약속시간이 내일 12시라서.. ㅋㅋ,하지만 약속시간이 내일 12시라서... ㅋㅋ
7947,혹시 네 분 어느정도 늦으실 것 같나요?,혹시 네 분 정도 어느정도 늦으실 것 같나요?
7955,두 분 어디 도장깨기 하러 가시는가요… ㅋㅋㅋ,저 두 분 어디 도장깨기 하러 가시는가요 … ㅋㅋㅋ
7970,앗 군계일전 짤을 여기다 나르고 싶네요,앗 군계일전 짤을 여기다 나르고도 싶네요
7980,드라마는 재미있지만 왠지 MBC가 했다는게 꺼림직...ㅡㅡ,이 드라마는 재미있지만 왠지 MBC가 했다는게 꺼림직... ㅡㅡ
7986,그냥 웃길려고 버둥버둥 용쓰는 사람 지켜보는 안쓰러운 기분마저든다.,"그냥 웃길려고 버둥버둥, 용쓰는 사람 지켜보는 안쓰러운 기분마저든다."
7995,주52시간 때문에 삶의 만족도가 떨어질거 같다,주52시간 때문에 삶의 질 만족도가 떨어질거 같다
8000,헐 나중에 저도 해봐야겠네요,헐 나중에 저도 좀 해봐야겠네요
8001,주식시장 활성화 계획은 말뿐입니까?,주식시장의 활성화 계획은 말뿐입니까?
8003,대박! 아니 비주얼이 너무 충격적으로 멋진데요?!,대박! 아니 비주얼이 정말 너무 충격적으로 멋진데요?!
8004,"천국에 살고 있지도, 어떤 곳인지도 모르지만 이런 아이들이 천국에 없다면 그곳은 천국이 아닐 것이다.","천국에 살고 있지도, 어떤 곳인지도 잘 모르지만 이런 아이들이 천국에 없다면 그곳은 천국이 결코 아닐 것이다."
8020,"일을 잘 하기 위해서는, 내 주변의 안정화 또한 중요하다는 생각을 다시금 할 수 있었어요.","일을 잘 하기 위해서는, 내 주변의 생활 안정화가 또한 중요하다는 생각을 다시금 할 수 있었어요."
8031,귤상자에 귤 이외의 것이 담겼을것이라는 의심은 합리적 의심이다.,귤상자에 귤 이외의 것이 담겼을것이라는 의심은 지나친 합리적 의심이다.
8032,"평범한 로맨틱 코미디지만, 마음을 끄는 무언가가 있다.","평범한 로맨틱 코미디지만, 마음을 끄는 건 무언가가 있다."
8042,내가 의심하고 있다는 사실을 제외하고 모든 것을 의심하는 데카르트 전술로 가야겠습니다,내가 스스로 의심하고 있다는 사실을 잠시 제외하고 모든 것을 의심하는 데카르트 전술로 가야겠습니다
8051,저도 택배 도착해서 수령했습니다.,저도 택배 도착해서 잘 수령했습니다.
8065,거의 한시간동안 이야기 나눴네요!!,거의 한시간동안 서로 이야기 나눴네요!!
8070,있는거 뿐만 아니라 스텝을 세고 있습니다요. ㅋㅋ,있는거 뿐만 아니라 스텝을 세고도 있습니다요. ㅋㅋ
8082,이런것은 정말 멋진 기획이네요.,이런것은 정말 너무 멋진 기획이네요.
8086,70세 이상도 기초연금 주세요,70세 이상도 아닌 기초연금 주세요
8118,탈취당한 자산 100억 원대 회사를 찾아 주십시오.,탈취당한 회사 자산 100억 원대 회사를 찾아 주십시오.
8127,"그당시 논스톱을 거쳐가면 앵간해선 다떴죠,,","그당시 논스톱을 거쳐가면서 앵간해선 다떴죠,,"
8134,청소년이 만든 영화수준 점수에 혹해서 봤는데 진짜 낚였어요,청소년이 직접 만든 영화수준 점수에 혹해서 봤는데 진짜 낚였어요
8153,다양한 생각 가진 사람들 모여야 impact가 큰 일들 할 수 있습니다.,다양한 서로 다른 생각 가진 사람들 모여야 impact가 큰 일들 할 수 있습니다.
8155,차량으로 사고를 내면 형량이 너무 약하다,사고 차량으로 사고를 내면 형량이 너무 약하다
8157,동의합니다가 너무 웃겨서 동의를 못하겠어요,동의합니다가 너무 웃겨서. 동의를 못하겠어요
8166,무분별한 근육증가 약물 사용을 제지해주세요,제발 무분별한 근육증가 약물 사용을 제지해주세요
8176,"대한민국 축구 감독(4,50대)들의 대폭적인 물갈이를 요청 합니다.","대한민국 축구 감독 ( 4, 50대 ) 들의 대폭적인 물갈이를 간곡히 요청 합니다."
8184,거기에서 그런 느낌을 받으셨을 수도 있겠네요...,거기에서 그런 느낌을 받으셨을 수도 있 있겠네요...
8196,교정시설 내에서 있었던 인권침해에 대하여 청원합니다.,교정시설 내에서 일어나 있었던 인권침해에 대하여 청원합니다.
8222,열 글자를 채우는게 아까운 영화,열두 글자를 채우는게 아까운 영화
8223,오우 .. 역시 보기 쉽지 않은 것 이었군요..!,. 오우.. 역시 보기 쉽지 않은 것 이었군요..!
8228,자동차세를 올리고 공영 주차장을 충분히 하여 주십시요,자동차세를 올리고 공영 주차장을 확보 충분히 하여 주십시요
8243,따릉이 너무 좋죠 ㅜㅜ,따릉이 너무 너무 좋죠 ㅜㅜ
8250,축구 모임 작당 중 ㅋㅋ,요즘 축구 모임 작당 중 ㅋㅋ
8271,내가 원하는 스타일!!! 재치있는 영화~ 굿잡,내가 원하는 스타일!!!! 재치있는 영화 ~ 굿잡
8273,수년째 같은장소에서 사업자만바꿔 동성성매매가 이뤄지고 있습니다,수년째 같은장소에서 다른 사업자만바꿔 동성성매매가 이뤄지고 있습니다
8275,한치가 펄럭이는게 넘 웃겨욬ㅋㅋ,한치가 펄럭이는게 넘은
8278,혹시 긍정적인 변화들이 많이 있나요?,그런데 혹시 긍정적인 변화들이 많이 있나요?
8279,가능함... 가능하겠지... 가능할거야... 바보가 아닌 이상.,가능함... 가능하겠지.... 가능할거야... 바보가 아닌 이상.
8296,"세상에서 가장 사랑하는 사람들로부터 이해 받기 힘들었던, 위대한 사명감을 가진 사람의 슬픈 이야기 였습니다.","세상에서 가장 사랑하는 사람들로부터 가장 이해 받기 힘들었던, 위대한 사명감을 다 가진 사람의 슬픈 이야기 였습니다."
8300,식용기름의 안전성에 대해 궁금합니다.,식용기름의 안전성에 대해 대해 궁금합니다.
8318,정책연구비 횡령 및 부정사용,정부 정책연구비 횡령 및 부정사용
8335,근데 지금은 엄청 발전 한 것 같아요,근데 지금은 엄청 발전을 한 것 같아요
8341,보니까 불쌍해서 사랑해서 못먹고 포기하던데 명껀 어찌 먹은겨..?,보니까 불쌍해서 사랑해서 밥 못먹고 포기하던데 명껀 어찌 먹은겨..?
