,sentence_2,sentence_2_bert
7093,ㅋㅋ사진이 제가 메인이 되었네요 ㅋㅋㅋ,ㅋㅋ사진이 제가 메인이가 되었네요 ㅋㅋㅋ
7095,공매도 요건 강화 부탁입니다.,공매도 금지 요건 강화 부탁입니다.
7100,전부 최악 이라고 하더군요,이게 전부 최악 이라고 하더군요
7107,최대한 닮은 꼴로 찾음…. ㅋㅋ,최대한 닮은 꼴로 찾음 ….. ㅋㅋ
7125,화수분… 맞으신거죠? 화생방 .. 뭐 그러신거 아니시죠 ㅎㅎ,화수분 … 맞으신거죠? 화생방.. 뭐라 그러신거 아니시죠 ㅎㅎ
7130,장기입원환자는 왜 건강보험적용을 받지못합니까?,그럼 장기입원환자는 왜 건강보험적용을 받지못합니까?
7133,다음에 만날 일 생길 때 열심히 따라가 보겠습니다 .. ㅎㅎ,다음에 다시 만날 일 생길 때는 열심히 따라가 보겠습니다.. ㅎㅎ
7137,대중의 힘을 보여주어야 합니다.,대중의 새로운 힘을 보여주어야 합니다.
7142,이젠 하다하다 영화 제목까지 카피하네;,; 이젠 하다하다 영화 제목까지 카피하네 ;
7143,늘 같아 보이지만 늘 새것인…와,늘 같아져 보이지만 늘 새것인 … 와
7145,가끔 찡하고 싶으실 때 추천!,가끔 찡하고 싶으실 때도 추천!
7150,대학원생 인건비 착취등에 대한 대학교수의 비리에 대해 국가적 전수조사를 요청합니다.,대학원생 인건비 착취등에 대한 대학교수의 비리에 대해 국가적 전수조사를 위해 강력히 요청합니다.
7166,막상 해보면 잘하실 수도 있는 거니까요!!,막상 해보면 잘하실 분 수도 있는 거니까요!!
7169,그리고 잊고 살았던 재태크에 대해 일깨웠던 정말 유익한 시간이었습니다.. ㅎㅎ,ㅎㅎ 그리고 잊고 살았던 재태크에 대해 새삼 일깨웠던 정말 유익한 시간이었습니다.. ㅎㅎ
7172,근로자퇴직급여 보장법 시행령 일부개정안에 대한 의견,근로자퇴직급여 보장법 시행령 일부개정안에 대한 전문가 의견
7176,너무 이상해서 끝까지 보게는 된다.,너무 이상해서 그냥 끝까지 보게는 된다.
7177,아이들 그리고 부보님 그리고 그 시절을 보냈던 모든 사람들에게 강추한다~!!!,아이들 그리고 부보님 그리고 그 시절을 보냈던 나의 거의 모든 사람들에게 강추한다 ~!!!
7202,헉 저는 소식 듣고 들어가자마자 마감 ㅠ,헉! 저는 소식 듣고 들어가자마자 마감 ㅠ
7207,동경 혹은 질투.시기을 너무 아름답게 그리고 담담하게 흐르듯이 그려낸 영화,"동경 혹은 질투. 시기을 너무 아름답게, 그리고 담담하게 물 흐르듯이 그려낸 영화"
7209,우와아 저도 포디움!! 마지막 동메달 가져갑니다:),우와아 저도 포디움!!! 마지막 동메달 가져갑니다 : )
7212,다시보기에서 봤는데 몇날 며칠동안 울기만했음,다시보기에서 봤는데 몇날동안 며칠동안 울기만했음
7216,듣는 것뿐 아니라 하는 것도 좋아하신 다고 해요.,듣는 것뿐만 아니라 하는 것도 좋아하신 다고 해요.
7217,음성군 음성읍 평곡리LNG발전소 유치 반대!!,음성군 음성읍 평곡리LNG발전소 유치에 반대!!
7239,으억…… 너무너무너무 약소해서 민망하네요.,으억 … … 너무너무너무 약소해서 너무 민망하네요.
7240,갑작스러운 질문에 많이 당황하셨을텐데 비즈니스 커뮤니케이션 뿐만 아니라 커리어를 쌓는 방법까지 인사이트 넘치는 답변을 주셔서 너무나 감사했습니다.,갑작스러운 질문에 정말 많이 당황하셨을텐데 비즈니스 커뮤니케이션 능력 뿐만 아니라 커리어 커리어를 쌓는 방법까지 인사이트 넘치는 답변을 주셔서 너무나 감사했습니다.
7250,이거 10분이상 끼고 있기가 힘들더라고요. ^^,이거 10분이상 끼고 있기가 힘들더라고요.. ^ ^
7253,역시 어떻게 찍었는지 궁금할 뿐...,나 역시 어떻게 찍었는지 궁금할 뿐...
7256,어제 들어오신 핫하신 분을 뵙니 좋네요.,오늘 어제 들어오신 핫하신 분을 뵙니 좋네요.
7269,공매도 제도 폐지해 주세요,공매도 제도를 폐지해 주세요
7275,최저임금으로 인해 거지가 되는 청년들 및 사회 취약층 왕따 양산이 있읍니다.,최저임금으로 인해 평생 거지가 되는 청년들 청소년 및 사회 취약층 왕따 양산이 있읍니다.
7285,분양가 보다 떨어진 집값에 대한 대책은 무엇인지,분양가 보다 떨어진 집값에 대한 부동산 대책은 무엇인지
7291,1차선 막는 저속차량 차선단속 좀 해주세요,1차선 막는 저속차량 차선단속 좀 잘 해주세요
7292,때 마침 제가 즐겨보는 유튜브 채널에서도 모닝 루틴을 찾는 영상이 올라왔더라구요!,"때 마침, 제가 즐겨보는 유튜브 채널에서도 모닝 모닝 루틴을 찾는 영상이 올라왔더라구요!"
7295,요즘 데이터를 수집하시느라고 고생하시는데 너무 공감이 가는 어려움이었어요..ㅎㅎ,요즘 데이터를 수집하시느라고 고생하시는데 너무 많이 공감이 가는 어려움이었어요.. ㅎㅎ
7297,앞으로 핵심가치를 세워가는 과정에 여러분의 생각 잘 담길 수 있도록 하겠습니다.,앞으로도 핵심가치를 세워가는 과정에 여러분의 핵심 생각 잘 담길 수 있도록 하겠습니다.
7307,나중에 한국 오시면 원포인트 레슨 부탁드립니다…!!,그럼 나중에 한국 오시면 원포인트 레슨 부탁드립니다 …!!
7316,간이과세 제외업종 미용업(네일) 간이과세 적용시켜주세요,네일 간이과세 제외업종 미용업 ( 네일 ) 간이과세 적용시켜주세요
7319,ㅋㅋㅋ 저 놀아야하는 시기가 왔나봐요..,ㅋㅋㅋ 저도 놀아야하는 시기가 왔나봐요..
7321,MBTI는 정 반대였습니다. ㅋㅋㅋ,MBTI는 정 반대였습니다.. ㅋㅋㅋ
7323,용광로나 조선소에서의 씬은 사람을 긴장하게 만들더군요..,용광로나 조선소에서의 스틸 씬은 사람을 긴장하게 만들더군요..
7333,운전 면허 허점에 대해서...,운전 면허의 허점에 대해서...
7341,비슷해보인다고 할 수 있는 회사네요.,좀 비슷해보인다고 할 수 있는 회사네요.
7346,일자리예산은 이제 그만! 현재 중소기업 재직중인 청년입니다.,일자리예산은. 이제 그만! 현재 중소기업 재직중인 청년입니다.
7351,고영주의 의도에 대해서 왜 그렇게 관대한지.,이런 고영주의 의도에 대해서 왜 그렇게 관대한지.
7352,같은 이름 다른 몰입도......,같은 이름 이름 다른 몰입도......
7353,오오.. 사계면 코앞인데 가봐야겠습니다ㅎㅎㅎ,오오.. 사계면 코앞인데 꼭 가봐야겠습니다ㅎㅎㅎ
7354,지금 kt 인터넷에 이상이 있다고 합니다!,지금 kt 인터넷에 하나 이상이 있다고 합니다!
7356,오홍 ㅋㅋㅋ 데스커 지금 세일해서 43만원에 겟했어요 ㅎ.ㅎ ㅋㅋ,오홍 ㅋㅋㅋ 데스커 지금 세일해서 43만원에 겟했어요 ㅎ. ㅎ. ㅋㅋ
7372,별로 개연성도 없고... 영화 한 편을 봤는데 두 편 본거 같다. 그것도 재미없는 영화 두편,별로 개연성도 없고... 영화 한 편을 봤는데 두 두 편 본거 같다. 그것도 참 재미없는 영화 두편
7379,"어설픈 오버 장지환 , 국어책 장근석 비추 ~","어설픈 게임 오버 장지환, 국어책 장근석 비추 ~"
7380,ㅋㅋ 오 안해봤는데 좋습니당!,! ㅋㅋ 오 안해봤는데 좋습니당!
7393,소름듣는 대사와..연출..연기...올드보이 인생 여러합작의 진품!!강추!!,. 소름듣는 대사와.. 연출.. 연기... 올드보이 인생 여러합작의 진품!! 강추!!
7395,물류쪽에서 일하는 사람도 쉬고 싶습니다.,물류쪽에서 일하는 한 사람도 쉬고 싶습니다.
7398,버피 100이 되어야 할듯 한데.,버피 100이 되어야 할듯도 한데.
7404,여하튼 모두 몸 건강하시기 바랍니다!,! 여하튼 모두 몸 건강하시기 바랍니다!
7408,용산 전쟁기념관의 이름을 전쟁 역사관으로 바꿔주세요.,용산 전쟁기념관의 이름을 전쟁기념 역사관으로 바꿔주세요.
7410,저도 처음에 이거하는데 몇개월 걸린..ㅋㅋㅋ,저도 처음에 이거하는데 몇개월이 걸린.. ㅋㅋㅋ
7421,신재생에너지 발전설비(태양광) 자격증 활성화 요청,신재생에너지 발전설비 ( 태양광 ) 관련 자격증 활성화 요청
7422,저도 1년 정도 여러가지 시도들을 해 봤어요..,저도 1년 정도 여러가지 시도들을 해 해 봤어요..
7426,저도 귤좀 주십시요 ..........,저도 귤좀 주십시요...........
7428,한국 공군은 대체 왜 지원한걸까,그런데 한국 공군은 대체 왜 지원한걸까
7449,땅이 촉촉한 것을 보니 올해 농사가 잘되겠네요.,땅이 촉촉한 그런 것을 보니 올해 농사가 잘되겠네요.
7450,나름 정성 들임.. .ㅋㅋ,나름 정성 들임.... ㅋㅋ
7454,오오와아아 사진 진짜 고퀄이예요!!,오오와아아 사진 진짜 완전 고퀄이예요!!
7461,"법무부, 금융감독원 가상화폐 관련 은행계좌 조사 요청합니다.","법무부, 금융감독원 가상화폐 관련 은행계좌 조사를 요청합니다."
7463,12월에 출범하는 인터넷BJ 정책협의체에 관하여,매년 12월에 출범하는 인터넷BJ 정책협의체에 관하여
7464,저도 반대 니즈가 있어 잠깐 얘기가 오갔지만.. 쉽게 답을 찾지는 못했네요~~,저도 반대 니즈가 좀 있어 잠깐 얘기가 오갔지만.. 쉽게 그 답을 찾지는 못했네요 ~ ~
7467,저도 가면 받고싶어졌는데 어른은 왜 안주나요?,저도 가면 받고싶어졌는데 어른은 또 왜 안주나요?
7472,주민센터 등 지방자치단체 근무 공무원들 이름표 달고 근무하게 해 주세요.,주민센터 등에 지방자치단체 근무 공무원들 이름표 달고 근무하게끔 해 주세요.
7481,견자단거 보고 와서 바로 감상평 쓴다.,견자단거 보고 와서 바로 감상평을 쓴다.
7489,마틴 스콜세지 감독 작품 찾는데 왜 자꾸 이게 뜨는거지,마틴 스콜세지 감독 작품 찾는데 왜 이렇게 자꾸 이게 뜨는거지
7493,저는 매주 일요일 오전 10시에 갑니다!!,저는 이제 매주 일요일 오전 10시에 갑니다!!
7503,불리고 싶은 닉네임이 활용되지 않을 수 있음,불리고도 싶은 닉네임이 활용되지 않을 수 있음
7511,진솔하게 다양한 피드백을 주셔서 내년을 준비하는 데에도 많은 도움이 될 것 같습니다.,"진솔하게 다양한 피드백을 주셔서, 특히 내년을 준비하는 데에도 많은 도움이 될 것 같습니다."
7515,“색상이 있는게 좋다!” 하시는 분들은 1번,“ 색상이 있는게 더 좋다! ” 하시는 분들은 1번
7518,대한민국 자존심 회복을 위한 스웨덴과의 스포츠대결 제안,대한민국 자존심 회복을 다지기 위한 스웨덴과의 스포츠대결 제안
7538,꼭 가족만이 정답일 필요는 없는 것 같다.,꼭 한 가족만이 정답일 필요는 없는 것 같다.
7543,생존 가능한 수면을 취할 수 있는 시간을 주세요.,생존이 가능한 수면을 취할 수 있는 시간을 주세요.
7551,우왕 점수차 벌리며 1등!!!,우왕! 점수차 벌리며 1등!!!
7559,정말 재미난 이야기들을 나누실 수 있을 것 같아요~~!,정말 재미난 이야기들을 나누실 수 있을 것 것 같아요 ~ ~!
7564,작은 건데 참 설레게 만드는~,작은 건데 ~ 참 설레게 만드는 ~
7578,다른 분들은 5키로 7분땡으로 클리어하셨습니다.,다른 분들은 5키로를 7분땡으로 클리어하셨습니다.
7580,12월에 한 번 더 맛있는 거 먹자고 이야기하며 마무리하였습니다!,12월에 한 번 더 더 맛있는 거 먹자고 이야기하며 마무리하였습니다!
7582,"파견직, 도급직, 비정규집 불법하도급 특별 단속 하시기 바랍니다","파견직, 도급직, 비정규집 불법하도급 특별 단속 하시기를 바랍니다"
7604,김정은이의 선처에 의한 평화~ 기똥찹니다. !!,~ 김정은이의 선처에 의한 평화 ~ 기똥찹니다.!!
7610,그리고 대학생들이 어디 시골가서 찍은 느낌..,그리고 대학생들이랑 어디 시골가서 찍은 느낌..
7612,공정거래위원회는 인원보강요청과 누구를 위한 기관인지요?,공정거래위원회는 인원보강요청과 함께 누구를 위한 기관인지요?
7622,아.. 이걸 왜 이제야 봤을까요..,아... 이걸 왜 이제야 봤을까요..
7623,생명의 위협을 받았던 걸까?,생명의 위협을 받았던 건 걸까?
7625,국회의원의 꼼수에 분노합니다. (월급 인상 반대!),국회의원의 꼼수에 분노합니다. ( 월급 대폭 인상 반대! )
7631,ㅋㅋ 커피는 성공적으로 먹었습니다...,ㅋㅋ. 커피는 성공적으로 먹었습니다...
7634,형사에겐 디저트가 없다'하고는 또다른 재미가 있네....,형사에겐 디저트가 없다'하고는'또다른 재미가 있네....
7637,첫번째 사진은 AI 모델러가 아니라 그냥 모델 같으십니다ㅎㅎ,첫번째 사진 사진은 AI 모델러가 아니라 그냥 모델 같으십니다ㅎㅎ
7651,"퇴직금 중간 정산, 반드시 받을 수 있게 개선하라.","퇴직금 중간 중간 정산, 반드시 받을 수 있게 개선하라."
7662,b급 영화는 이렇게 만드는 거다!,b급 영화는 그냥 이렇게 만드는 거다!
7663,"해외 직구인데도 2, 3일 정도 만에 와서 저렴하게 살 수 있대용","물론 해외 직구인데도 2, 3일 정도 하루 만에 와서 저렴하게 살 수 있대용"
7671,욕과 선정성으로만 대중을 잡을 수는 없다.,욕과 선정성으로만으로 대중을 잡을 수는 없다.
7676,주제는 달랐지만 케빈에대하여 보면서 이 영화가 생각났음.,주제는 달랐지만 케빈에대하여 보면서 이 영화가 문득 생각났음.
7680,랄프 파인즈 나와서 좋은거 빼고는 잉글리쉬 페이션트아류작 같아서 실망,랄프 파인즈 나와서 좋은거 빼고는 잉글리쉬의 페이션트아류작 같아서 실망
7694,오랜만에 모델 관련 토크를 했더니 참 재밌었습니다.,오랜만에 모델 관련 토크를 했더니 참 너무 재밌었습니다.
7704,제 픽도 밥솥에 들어간거요!!!,제 픽도 이 밥솥에 들어간거요!!!
7707,팔지 않으면 손실이 아닙니다 ..!,팔지 않으면 손실이 이만저만 아닙니다..!
7711,어린이집 원장이 보육교사 겸임을 못하게 해주세요.,어린이집 원장이 직접 보육교사 겸임을 못하게 해주세요.
7712,꼭 좀 봐주세요. 온라인상 댓글 관련 청원입니다.,꼭 좀 봐주세요. 이건 온라인상 댓글 관련 청원입니다.
7713,저는 키가 커서 거의 끝에서 끝까지 올렸다가 내려야 함;;,저는 키가 너무 커서 거의 끝에서 끝까지 올렸다가 내려야 함 ; ;
7716,모든 것을 내려놓고 보면 된다.,모든 것을 다 내려놓고 보면 된다.
7724,차세대 인식기 넘 멋진 말이네요..,차세대 인식기가 넘 멋진 말이네요..
7737,허벅지 근육량은 정말 중요합니다.,허벅지의 근육량은 정말 중요합니다.
7742,오 저 이거 사고 싶은데 어떤가요...!!,오 저 이거 좀 사고 싶은데 어떤가요...!!
7749,아 세상에… 저런 오븐이라니…세상에…이 영상 힐받네요..!!,아 세상에 … 이 저런 오븐이라니 … 세상에 … 이 영상 힐받네요..!!
7759,분당-강남역-서울역 연결해주었던 1005-1 심야 시간 부활 부탁드립니다!,분당 - 강남역 - 서울역을 연결해주었던 1005 - 1 심야 시간 부활 부탁드립니다!
7761,잔잔함속에 커다란 삶의 꿈틀거림이느껴진다,잔잔함속에 커다란 삶의 힘찬 꿈틀거림이느껴진다
7767,이렇게 또 우리 회사 웨이 교육받고 갑니다...,이렇게 또 다시 우리 회사 웨이 교육받고 갑니다...
7775,어차피 저희 둘은 만날거니까.. ㅎ,어차피 저희들 둘은 만날거니까.. ㅎ
7784,문재인씨 올림픽을 남북올림픽으로 변질시킬겁니까??,문재인씨 올림픽을 남북올림픽으로 어떻게 변질시킬겁니까??
7789,오호 스피커의 힘?! ㅎㅎ,오호 ~ 스피커의 힘?! ㅎㅎ
7791,"일본식.. 고스트.. 아니, 일본판 식스센스~!","일본식.. 고스트... 아니, 일본판 식스센스 ~!"
7792,인천공항공사 신임 사장 취임 건 -낙하산 인사-,인천공항공사 신임 사장에 취임 건 - 낙하산 인사 -
7793,담엔 전사 공지 한 번 떄려주세요!!,담엔 전사 관련 공지 한 번 떄려주세요!!
7801,이거 먼 영화임 ㅡㅡ,이거 먼 영화임. ㅡㅡ
7803,영업용 넘버 규제에서 풀어 주세요,영업용 넘버원 규제에서 풀어 주세요
7804,관련 논의나 컨소시엄 구축에도 저희가 참여할 수 있으면 좋을것 같습니다,관련된 논의나 컨소시엄 구축에도 저희가 참여할 수 있으면 좋을것도 같습니다
7813,언젠가 꼭 즐거운 취미 생활에 정착하게 되면 서로에게 알려주기로하며 마무리했습니다!,언젠가 꼭 즐거운 즐거운 취미 생활에 정착하게 되면 서로에게 잘 알려주기로하며 마무리했습니다!
7817,왜 군필자 남성들은 군대가는게 당연한 것인가요??,왜 군필자 남성들은 군대가는게 그렇게 당연한 것인가요??
7826,"주인공들 사이의 발전에 개연성도 떨어지고 화면, 내용이 여러 영화의 짜집기 같다.","주인공들 사이의 관계 발전에 개연성도 떨어지고 화면, 내용이 여러 영화의 마치 짜집기 같다."
7827,저는 카누 들고 가겠습니다!! ㅋㅋ,저는 카누 들고 가겠습니다!!! ㅋㅋ
7830,단체 촬영을 도와주실 분을 구함니다...!!!,. 단체 촬영을 도와주실 분을 구함니다...!!!
7834,"공정한 나라, 공정한 기회를 위한 나라장터 입찰 시스템을 개선해 주세요.","공정한 나라, 공정한 입찰 기회를 위한 나라장터 입찰의 시스템을 개선해 주세요."
7838,살의 나를 만난다면 난 무슨 말을 해줄 수 있을까...,살의 나를 만난다면 난 무슨 말을 해줄 알 수 있을까...
7839,어린이집 CCTV실시간 모니터링 가능하게 해주세요,어린이집 CCTV실시간을 모니터링 가능하게 해주세요
7841,왜 공공기관의잘못을 우리가 뒤집어 써야 합니까?,왜 공공기관의잘못을 우리가 뒤집어 써야만 합니까?
7846,1년의 회계연도를 변경할 수 있을까요?,과연 1년의 회계연도를 변경할 수 있을까요?
7854,대박… 조만간 꼭 갑니다….ㅋㅋ,대박 … 조만간 꼭 한국 갑니다 …. ㅋㅋ
7859,오늘 점심에 <PERSON> 님과 1:1 식사를 했습니다.,오늘 점심에 < PERSON > 님과 1 : 1로 식사를 했습니다.
7860,대한민국 경찰님들은 참 편하고 안전하게 일하시는것 같다,대한민국 경찰님들은 참 마음 편하고 안전하게 일하시는것 같다
7865,넵! 지금 한 분이 답을 안주셔서 기다리고 있었는데요!,넵! 지금 딱 한 분이 답을 안주셔서 기다리고 있었는데요!
7871,앗 취소하라고 하셔서 취소했습니다..!,앗 취소하라고 말씀 하셔서 취소했습니다..!
7873,번호판 판매의혹.. 과연 우연일까요?,번호판 불법 판매의혹.. 과연 우연일까요?
7877,그때 고생하신거 만큼 지금 더 많이 웃고 즐거운 날들이길 바라봅니다! ㅎㅎ,그때 고생하신거 만큼 지금은 더 많이 웃고 즐거운 날들이길 바라봅니다!! ㅎㅎ
7878,저희 뿐만 아니라 비슷한 고민을 하시는 분들 모두 파이팅 하셨으면 좋겠습니다!!! ㅋㅋㅋ,저희 뿐만이 아니라 비슷한 고민을 하시는 분들 모두 파이팅 하셨으면 좋겠습니다!!!! ㅋㅋㅋ
7881,저도 운전하다가 소 떼 만난 적 있는데..,저도 운전하다가 소떼 떼 만난 적 있는데..
7893,혹시 오늘 상현 사무실에서 근무하시는 분 계실까요오?,혹시 오늘 상현 사무실에서 근무하시는 분들 계실까요오?
7894,성범죄 친고죄 부활을 요청합니다,성범죄 친고죄 부활을 강력히 요청합니다
7923,"영덕 수해지역 도와주시고, 특별재난지역 선포 검토해주세요!!","- 영덕 수해지역 도와주시고, 특별재난지역 선포 검토해주세요!!"
7932,화가 좀 많이 나는군...,화가 좀 많이 안 나는군...
7936,ㅋㅋ 아이고 잠이 확 깨네요 다른 분들도 좋은 사진 많으시던데…,ㅋㅋ 아이고 잠이 확 깨네요 다른 분들도 참 좋은 사진이 많으시던데 …
7947,혹시 그때도 사무실 계실까요?,혹시 그때도 사무실에 계실까요?
7949,전화로 하는 선거 유세좀 없애주세요.,전화로 하는 선거 유세좀 제발 없애주세요.
7955,둘이 봉인을 어디서 뜯으려나... 하하하,둘이 봉인을 어디서 뜯으려나.... 하하하
7980,시도는 좋았지만 결 국 ... 졸작!,시도는 좋았지만 결 국.... 졸작!
7986,기대안하고 그냥 웃길줄만 알고 봤는데 코미디 멜로 진짜 좋은 작품입니다..,기대안하고 그냥 웃길줄만 알고 봤는데 코미디랑 멜로 진짜 너무 좋은 작품입니다..
7995,여성가족부 폐지하면 저출산문제가 해결될 것 같습니다.,일단 여성가족부 폐지하면 저출산문제가 해결될 것 같습니다.
8001,공익사업 개발은 무엇을 위한것입니까?,공익사업 개발은 과연 무엇을 위한것입니까?
8003,근데 인형이 너무 귀엽네요! 코알라라니!!,근데 인형이 너무 귀엽네요!! 코알라라니!!
8004,이런 일이 일반화되면 국가의 그 어느 구석에도 희망은 없다.,이런 식의 일이 일반화되면 국가의 그 어느 구석에도 희망은 없다.
8020,"단순히 높이 가자는 것만 의미하는게 아닌, 상생과 회복의 의미 또한 지니고 있습니다.","단순히 더 높이 가자는 것만 의미하는게 아닌, 상생과 회복의 의미 또한 지니고는 있습니다."
8031,안희정 조사는 정말 부끄러운 대한민국 총체적인 부실을 보여준다.,안희정 조사는 정말이지 부끄러운 대한민국 총체적인 부실을 보여준다.
8032,"폼은 납니다만 , 납득안가는 몰입도가 설정의 진부함을 느끼게 해준다.","폼은 납니다만, 납득안가는 몰입도가 오히려 설정의 진부함을 느끼게 해준다."
8042,링피트 이야기에서 추측할 수 있듯이,링피트의 이야기에서 추측할 수 있듯이
8047,오.. 다들 너무 잘 나오셨네요. ~! !,오.. 다들 너무 잘 나오셨네요. ~ ~!!
8065,모두 주말 동안 잘 쉬셨나요?!,모두 주말 동안 잘 안 쉬셨나요?!
8070,군중심리학 이라는 스테이지인데 못깨고 있어요... ㅋㅋ,ㅋㅋ 군중심리학 이라는 스테이지인데 못깨고 있어요... ㅋㅋ
8086,30세 이상 여성 취업자 보조금 지급해주세요,30세 이상 여성 취업자에 보조금 지급해주세요
8118,KBS 수신료를 폐지시켜 주십시오.,KBS 수신료를 폐지시켜 주어 주십시오.
8127,시청한 후에 내내 시대적배경을 알고 싶어 인터넷을 헤메고 다녔다~~~,시청한 후에 내내 시대적배경을 알고는 싶어 인터넷을 헤메고 다녔다 ~ ~ ~
8134,평소 용재 오닐씨를 많이 좋아해서 관심있게 봤는데 너무 감동이었어요!!,평소 용재 오닐씨를 많이 좋아해서 관심있게 많이 봤는데 너무 감동이었어요!!
8153,DisplayLink 라는 기술을 이용하면 여러 외장 모니터를 사용할 수 있습니다.,또한 DisplayLinks 라는 기술을 이용하면 여러 외장 모니터를 사용할 수 있습니다.
8155,김성태의원 폭행범 징역1년은 너무 심합니다,나경원 김성태의원 폭행범 징역1년은 너무 심합니다
8157,"조두순 출소를 반대하고,무기징역을 찬성합니다.","조두순 출소를 강력히 반대하고, 무기징역을 찬성합니다."
8166,"DMZ 구역의 가치를 역사에 남길 수 있도록 무분별한 개발을 제지하고, 생물권을 보존해주세요.","DMZ 구역의 가치를 우리 역사에 남길 수 있도록, 무분별한 개발을 제지하고, 생물권을 보존해주세요."
8176,"공직선거법 제47조 3,4,5항의 폐지를 요구합니다.","공직선거법 제47조 3, 4, 5항의 폐지를 강력히 요구합니다."
8180,1가구1주택 보유세 중과 반대,1가구1주택자 보유세 중과 반대
8184,나중에 같이 뛰시자고도 제안하셨지만 뭔가 제가 뛰다가 쓰러지지 않을까 걱정이 들었네요....,나중에 같이 뛰시자고도 제안하셨지만 뭔가. 제가 뛰다가 갑자기 쓰러지지 않을까 걱정이 들었네요....
8196,"아동, 청소년 대상 성범죄의 처벌과 절차에 관한 특례법 형량 기준을 높이는것에 청원합니다.","아동, 청소년 대상 성범죄의 처벌과 절차에 이에에 관한 특례법 형량 기준을 높이는것에 청원합니다."
8222,진짜 벌목한 나무가 아깝다,진짜로 벌목한 나무가 아깝다
8223,오... 의자 이게 진짜 중요한게 맞긴 한 것 같아요,오... 의자 이게 진짜 중요한게 좀 맞긴 한 것 같아요
8227,요즘 이상한 사람이 많은데...,. 요즘 이상한 사람이 많은데...
8228,"장애인 전용 주차장을 없애주세요,","장애인 전용 주차장을 제발 없애주세요,"
8243,오늘 텃밭의 수확이 좀 좋았다고 합니다…,그런데 오늘 텃밭의 수확이 좀 좋았다고 합니다 …
8250,이거 바로 사용 중 ㅋㅋ,이거 바로 지금 사용 중 ㅋㅋ
8254,이명박 전대통령의 출국을 금지시켜주십시오.,이명박 전대통령의 출국을 엄격히 금지시켜주십시오.
8271,돗수리 형제 짱!!!!!!ㅋㅋㅋ보고 싶다 보고싶다.,우리 돗수리 형제 짱!!!!!! ㅋㅋㅋ보고 싶다 보고싶다.
8273,군부대에서 간부가 일반병사를 이유없이 수차례 폭행했습니다.,한 군부대에서 간부가 일반병사를 이유없이 수차례 폭행했습니다.
8275,다들 당근 들고계신게 너무 귀엽군욬ㅋㅋ,다들 다 당근 들고계신게 너무
8278,혹시 해결 방법을 아시는 분이 계신가요?,혹시 해결할 방법을 아시는 분이 계신가요?
8279,글쎄요... 옛날이나 지금이나 쫌 이상..,글쎄요... 옛날이나. 지금이나 쫌 이상..
8296,지금이라도 알게 되고 느낄 수 있어서 다행이라는 행복감을 준 무척 좋은 영화입니다.,지금이라도 알게 되고 느낄 수는 있어서 다행이라는 듯 행복감을 준 무척 좋은 영화입니다.
8318,부정경쟁방지 및 영업비밀보호 처벌 강화 해주세요,부정경쟁방지법 및 영업비밀보호 처벌 강화 해주세요
8329,최근에 알게 된 유소년 합창단입니다.,최근에 알게 된 유소년 축구 합창단입니다.
8335,와 근데 자리가 바뀐것 같아요 ㅋㅋ,와 근데 자리가 많이 바뀐것 같아요 ㅋㅋ
8341,숨도 안쉬고 끝까지 봤는데 ...,숨도 안쉬고. 끝까지 봤는데...
8346,"주52시간 근무제도가 아무런 소용이없고, 더 고통받고있습니다.","주52시간 근무제도가 아무런 아무런 소용이없고, 더 고통받고있습니다."
8353,어린이집 대출건에 대하여 대출이자 부적절 사용지방재정법위반으로 형사처벌원합니다,해당 어린이집 대출건에 대하여 대출이자 부적절 사용지방재정법위반으로 형사처벌원합니다
8377,건강 보험료 관련되어 질문이 있습니다!,건강 보험료 관련되어서 질문이 있습니다!
8388,그것은 운명의 데스티니.. 바람의 윈드.. 사막의 데저트… ㅎㅎㅎ,그것은 운명의 데스티니.. 바람의 윈드.. 사막의 데저트 … … ㅎㅎㅎ
8391,애들보는 에니중 재미없던 영화는 없었어요. 이 영화 빼고~,애들보는 에니중 재미없던 영화는 없었어요. 근데 이 영화 빼고 ~
8403,정말 시간적 여유가 더 있었다면 더 높은 점수를 획득할 수 있었을것 같은데 아쉽네요.,"정말, 시간적 여유가 더 많이 있었다면 더 높은 점수를 획득할 수 있었을것 같은데 아쉽네요."
8408,횡단보도에서 오토바이의 무분별한 운행을 차단해주시기 바랍니다.,부디 횡단보도에서 오토바이의 무분별한 운행을 차단해주시기 바랍니다.
8413,혹시 이모티콘 원본들은 어디서 구할 수 있을까요?,혹시 이모티콘 원본들은 어디서 구할 수는 있을까요?
8416,오오... 마트에서 보고 궁금했는데 도전해봐야겠네요 ㅎㅎㅎ,오오... 마트에서 보고 궁금했는데 도전해봐야겠네요. ㅎㅎㅎ
8426,저는 뮤직비디오 보는 것도 좋아하는데 이번 있지의 뮤직비디오가 엄청 잘 나왔네요.,사실 저는 이 뮤직비디오 보는 것도 좋아하는데 이번 있지의 뮤직비디오가 엄청 잘 나왔네요.
8428,흰둥이 식구는 더 웃기고... ㅋㅋ,흰둥이 식구는 오히려 더 웃기고... ㅋㅋ
8430,공정거래위원회는 누구를 위한 위원회인가?,현재 공정거래위원회는 누구를 위한 위원회인가?
8433,앜ㅋㅋ아쉽게도 어려서부터 운동을 기피해와서...,. 어려서부터 운동을 기피해와서...
